event	lumi	run	ele pt	tau pt	met	taudm	tauGM
93847398	41400	1	38.0762	30.0304	24.9607	1	5
93850908	41402	1	41.1802	53.9839	53.5111	1	5
93927774	41436	1	107.728	105.577	103.563	10	5
93931102	41437	1	34.2381	37.9321	28.7623	10	5
93996508	41466	1	37.2137	35.0197	40.7549	1	5
93998759	41467	1	41.5696	32.9231	32.4037	1	5
94006876	41471	1	26.3029	59.0011	20.3078	10	5
94317645	41608	1	30.887	44.9531	75.3948	1	5
94394522	41642	1	30.4211	34.5982	27.1297	0	5
60440221	26663	1	36.8472	58.5547	40.318	10	5
60442535	26664	1	45.2162	46.5335	12.1868	1	1
60444439	26665	1	28.483	43.9797	28.8953	1	5
60538989	26707	1	36.3207	64.2736	42.9887	1	5
60544650	26709	1	30.747	30.8071	6.73707	0	5
61736446	27235	1	30.0157	34.4259	18.6146	1	5
61738751	27236	1	29.878	38.2595	54.2959	1	5
61741197	27237	1	28.928	38.8884	28.1511	10	5
61741477	27237	1	36.5853	38.3179	17.9554	1	1
61802895	27264	1	33.2153	38.7577	45.8172	10	5
61807695	27266	1	30.5554	35.2316	65.8846	0	5
61809055	27267	1	32.4471	46.6721	14.839	10	5
65560246	28922	1	31.2085	31.7111	29.4887	1	5
66047266	29137	1	28.3745	43.4663	35.313	1	5
66059020	29142	1	28.7377	31.8505	43.4408	10	5
66060077	29142	1	33.9751	110.49	54.4879	1	5
65590961	28935	1	37.5329	36.4123	9.74757	0	5
65592752	28936	1	78.7879	37.7028	149.105	1	5
65596692	28938	1	26.1623	43.1054	25.9211	11	5
65604968	28941	1	40.5701	80.6424	17.8698	0	6
65612606	28945	1	29.4299	30.0984	90.5874	1	5
65612956	28945	1	32.871	35.3714	24.498	1	5
65612988	28945	1	35.7099	33.1712	50.2915	1	5
65734581	28999	1	35.1168	38.6509	90.1059	10	5
65736619	28999	1	28.0088	34.3405	19.7386	10	5
65745334	29003	1	30.4458	32.0346	65.2026	1	5
65758714	29009	1	28.7106	34.4837	20.278	0	5
65770936	29015	1	43.7506	42.8472	27.6595	0	1
65776062	29017	1	43.205	34.8465	304.621	10	5
81662796	36025	1	26.0522	49.1433	13.6201	1	5
74407145	32824	1	27.9052	36.0105	28.5365	10	5
74408527	32825	1	25.6744	45.6729	49.2911	0	5
74421185	32831	1	34.5596	50.4808	29.7028	10	5
74425706	32833	1	25.4552	37.1496	31.6592	1	5
74427515	32833	1	28.8545	38.1848	32.4109	1	5
74433263	32836	1	38.2605	51.8903	31.2792	1	5
75061106	33113	1	85.4858	74.4222	49.4273	1	5
75065566	33115	1	37.0777	37.1499	19.0806	1	5
72536303	31999	1	27.183	43.7202	10.0693	10	5
72583820	32020	1	39.648	43.708	16.4645	1	1
72588461	32022	1	31.7416	34.8623	15.7195	10	5
72598626	32027	1	33.8221	49.7916	34.1186	0	1
72599450	32027	1	61.4936	106.551	43.0169	10	5
72828915	32128	1	41.2665	32.4952	32.2084	1	5
72802080	32116	1	30.6508	31.0764	34.1754	1	5
72833610	32130	1	37.705	42.0258	30.6841	1	5
74958969	33068	1	80.6024	98.4316	46.9187	0	5
74981475	33078	1	42.8665	37.8357	11.9245	11	5
74983384	33079	1	78.9166	68.3423	101.876	10	6
75008981	33090	1	35.9782	41.1412	9.10429	1	5
111188427	49050	1	82.8727	72.1163	163.937	0	5
111193458	49052	1	55.7269	32.7893	25.4867	1	5
111195071	49053	1	26.3627	38.4281	39.3029	1	5
111209947	49060	1	42.4751	32.4551	51.2138	10	5
